SKU,Name,SAM,TCC,RM9,ESV,MGB,EMB,EMQ,On Time,HQ,Saimai,TOPS,Total
P_EW-INT,edel+white Intensive Flosserbrush,12,71,54,79,43,68,28,3,-14,-6,0,358
EW-CC,edel+white CleanCurl 3D,17,28,17,10,31,25,34,55,108,24,0,349
EW-PL5,edel+white Easy Tape (Mint) 5 m.,5,9,2,9,8,16,0,-9,0,0,0,49
EW-USF,[Redeem] edel+white UltraSoft Flosserbrush (Foil),19,24,24,23,24,18,20,107,46,20,0,325
EW-WF40,edel+white Woven Floss | Cinnamon Mint,12,12,12,12,9,24,12,50,464,20,0,627
P_EW-FT70,edel+white Easy Tape (Mint),8,4,1,0,3,0,0,35,0,13,0,64
P_EW-FTGR,edel+white Easy Tape (Caipirinha),12,7,9,5,7,20,6,39,274,44,0,423
P_EW-GUM75,edel+white Care Forte 75 ml.,14,1,20,10,7,15,13,35,251,37,0,403
P_EW-OT75,edel+white Osmotonic 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-PO,edel+white Pro-Ortho,18,20,18,23,29,46,21,59,8,26,0,268
P_EW-Refill-DC,edel+white Dual Clean Refill (2 pcs),4,2,3,2,2,3,3,8,54,30,0,111
P_EW-Refill-TF,edel+white Target & Focus Refill (2 pcs),2,1,3,1,3,6,1,6,9,10,0,42
P_EW-Refill-WH,edel+white Whitening Refill (2 pcs),2,2,3,2,4,3,3,3,10,4,0,36
P_EW-SE,edel+white Stain Eraser,43,32,39,19,23,53,25,109,539,28,0,910
P_EW-SF,edel+white SuperSoft Floss 50 strands,2,4,3,3,4,5,1,22,147,15,0,206
P_EW-SG8,edel+white Sonic Generation 8,-84,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0
EW-SG8PLUS,edel+white Sonic Generation 8+,2,2,3,2,2,3,2,23,0,5,0,44
P_EW-SR75,edel+white Stop Sensitive 75 ml.,-84,-84,-84,-84,-84,-84,-84,-84,-84,0,0,0
P_EW-TW75,edel+white Anti-Plaque + Whitening 75 ml.,8,11,22,7,3,25,22,19,178,23,0,318
P_EW-US,edel+white UltraSoft Flosserbrush,124,122,158,141,109,176,142,122,1376,60,0,2530
P_EW-US-P3,edel+white UltraSoft Flosserbrush (Pack 3),-29,4,4,4,1,-16,1,4,-84,0,0,18
EW-WJR2,edel+white FlosserPik Replacement,2,3,3,3,3,6,2,11,29,6,0,68
P_F_EW_CRF12,edel+white Care Forte 12 ml.,-84,-84,-84,-84,-84,-84,-84,34,-84,12,0,46
P_F_EW_OSM12,edel+white Osmotonic 12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_STS12,edel+white Stop Sensitive12 ml.,-84,-84,-84,-84,-84,-84,-84,0,-84,0,0,0
P_F_EW_WHT12,edel+white Anti-Plaque + Whitening 12 ml.,-84,1,6,-84,-84,-84,2,37,-84,15,0,61
PEW-WJ180,edel+white FlosserPik,3,0,3,2,4,10,2,15,260,6,0,305
PEW-US-Duo,edel+white UltraSoft Flosserbrush Duo,0,0,0,0,0,0,0,15,-84,-84,0,15
